model,suite,task_id,episode_id,task_description,perturbation,clean_success,corrupt_success,clean_ratio,corrupt_ratio,clean_iou,corrupt_iou,delta_success,delta_visual_ratio,delta_iou,vci,gri,delta_ratio_early,delta_iou_early,delta_ratio_mid,delta_iou_mid,delta_ratio_late,delta_iou_late,delta_ratio_slope,delta_iou_slope
DreamZero,libero_10,0,0,open the top drawer and put the bowl inside,empty,1.0,0.0,0.5306371695594561,0.5637974809117736,0.18084729842078073,0.17449834436641112,-1.0,0.03316031135231756,-0.00634895405436961,0.03316031135231756,0.026811357297947952,0.03774683244997079,-0.0010730666286712098,0.03961843449227531,-0.004495438751660669,0.021171086591439292,-0.013948544553601422,-0.0165757458585315,-0.012875477924930212
DreamZero,libero_10,0,0,open the top drawer and put the bowl inside,random,1.0,0.0,0.5306371695594561,0.5627036063396647,0.18084729842078073,0.15245096574844513,-1.0,0.032066436780208596,-0.0283963326723356,0.032066436780208596,0.0036701041078729957,0.04126510378914883,-0.02382868673885838,0.020281830201043016,-0.028010408718816215,0.03383413068040142,-0.03375557505911128,-0.007430973108747407,-0.009926888320252902
DreamZero,libero_10,0,0,open the top drawer and put the bowl inside,synonym,1.0,1.0,0.5306371695594561,0.5196629987695114,0.18084729842078073,0.22333409680920022,0.0,-0.01097417078994467,0.04248679838841948,-0.01097417078994467,-0.053460969178364154,-0.001792150759769462,0.04389268876325331,-0.017078403724716584,0.04385517506506667,-0.014379087126181633,0.03873386271226947,-0.012586936366412171,-0.0051588260509838335
DreamZero,libero_10,0,0,open the top drawer and put the bowl inside,shuffle,1.0,1.0,0.5306371695594561,0.5337392871088006,0.18084729842078073,0.2158863175543562,0.0,0.0031021175493445297,0.03503901913357546,0.0031021175493445297,-0.03193690158423093,-0.007559106997716003,0.039309576735069296,0.007237334147680352,0.036072334414059715,0.010697645697797187,0.02947378180999466,0.01825675269551319,-0.009835794925074637
DreamZero,libero_10,0,0,open the top drawer and put the bowl inside,opposite,1.0,1.0,0.5306371695594561,0.5415014785216233,0.18084729842078073,0.1629431688251682,0.0,0.01086430896216728,-0.017904129595612522,0.01086430896216728,-0.007039820633445243,0.006381378187657716,-0.014395224413228491,0.01511161249184545,-0.016423041589116782,0.011118061379677857,-0.023277968414406103,0.004736683192020141,-0.008882744001177612
DreamZero,libero_10,0,1,open the top drawer and put the bowl inside,empty,1.0,0.0,0.5295192789727893,0.5692536918722524,0.14361895106892628,0.1182909248457843,-1.0,0.03973441289946311,-0.02532802622314198,0.03973441289946311,0.014406386676321131,0.032887047056916585,-0.019480897069581393,0.03339619594637211,-0.02675516861468616,0.05290661074945657,-0.02922930014681782,0.020019563692539988,-0.009748403077236428
DreamZero,libero_10,0,1,open the top drawer and put the bowl inside,random,1.0,1.0,0.5295192789727893,0.5389839089883215,0.14361895106892628,0.09025547403508861,0.0,0.009464630015532216,-0.05336347703383766,0.009464630015532216,-0.043898847018305445,0.008616994041990345,-0.044597142288247946,-0.0021896104218961376,-0.05545241835932588,0.021896145948802626,-0.05971027483710574,0.013279151906812281,-0.015113132548857794
DreamZero,libero_10,0,1,open the top drawer and put the bowl inside,synonym,1.0,0.0,0.5295192789727893,0.5447568062993815,0.14361895106892628,0.12530334040532842,-1.0,0.015237527326592226,-0.018315610663597853,0.015237527326592226,-0.003078083337005627,0.006923327177033811,-0.016745203121241226,0.014119549785923335,-0.022357371832061643,0.024669705016819643,-0.015844257037490705,0.017746377839785832,0.0009009460837505201
DreamZero,libero_10,0,1,open the top drawer and put the bowl inside,shuffle,1.0,1.0,0.5295192789727893,0.5317143261519675,0.14361895106892628,0.15195650606145789,0.0,0.002195047179178178,0.00833755499253161,0.002195047179178178,-0.006142507813353432,-0.021493121114250835,0.015757026789059547,-0.002502049520056393,0.00413363541835346,0.03058031217184176,0.005122002770181794,0.052073433286092596,-0.010635024018877753
DreamZero,libero_10,0,1,open the top drawer and put the bowl inside,opposite,1.0,0.0,0.5295192789727893,0.5730616041286137,0.14361895106892628,0.07777118233465947,-1.0,0.04354232515582446,-0.0658477687342668,0.04354232515582446,-0.022305443578442344,0.029096664944607165,-0.05710487938132866,0.04412025773015915,-0.06920435320451786,0.05763800521828233,-0.0708931687901656,0.028541340273675164,-0.013788289408836946
