suite,task_id,action_entropy_kde,success_rate,task_description
10,0,-9.122752884170584,0.95,put both the alphabet soup and the tomato sauce in the basket
10,1,-7.430625878980725,1.0,put both the cream cheese box and the butter in the basket
10,2,-6.899788664896091,1.0,turn on the stove and put the moka pot on it
10,3,-7.031488233848156,0.9,put the black bowl in the bottom drawer of the cabinet and close it
10,4,-8.286426483611098,0.95,put the white mug on the left plate and put the yellow and white mug on the right plate
10,5,-9.059924680558732,0.95,pick up the book and place it in the back compartment of the caddy
10,6,-8.510522078699308,0.95,put the white mug on the plate and put the chocolate pudding to the right of the plate
10,7,-7.047933483640041,1.0,put both the alphabet soup and the cream cheese box in the basket
10,8,-9.02542116058316,0.5,put both moka pots on the stove
10,9,-5.8928381740784594,1.0,put the yellow and white mug in the microwave and close it
goal,0,-11.02802117952095,0.95,open the middle drawer of the cabinet
goal,1,-7.73232608807955,1.0,put the bowl on the stove
goal,2,-8.605520692878695,0.8,put the wine bottle on top of the cabinet
goal,3,-7.247433282082694,0.95,open the top drawer and put the bowl inside
goal,4,-7.598129413638352,1.0,put the bowl on top of the cabinet
goal,5,-13.169024573501193,0.95,push the plate to the front of the stove
goal,6,-8.152803117655514,0.95,put the cream cheese in the bowl
goal,7,-7.949294130773173,1.0,turn on the stove
goal,8,-8.060033432055068,1.0,put the bowl on the plate
goal,9,-6.148083523613968,0.95,put the wine bottle on the rack
object,0,-8.450147418282025,1.0,pick up the alphabet soup and place it in the basket
object,1,-8.284047927790414,1.0,pick up the cream cheese and place it in the basket
object,2,-8.58048538693154,1.0,pick up the salad dressing and place it in the basket
object,3,-7.780275273458227,1.0,pick up the bbq sauce and place it in the basket
object,4,-7.994222396733835,1.0,pick up the ketchup and place it in the basket
object,5,-8.250340846104164,0.95,pick up the tomato sauce and place it in the basket
object,6,-7.599334344930756,1.0,pick up the butter and place it in the basket
object,7,-7.781365299525119,1.0,pick up the milk and place it in the basket
object,8,-7.937146870385758,1.0,pick up the chocolate pudding and place it in the basket
object,9,-8.617594220564461,1.0,pick up the orange juice and place it in the basket
spatial,0,-6.894454315909696,1.0,pick up the black bowl between the plate and the ramekin and place it on the plate
spatial,1,-7.315718288797735,1.0,pick up the black bowl next to the ramekin and place it on the plate
spatial,2,-8.585607207245308,0.95,pick up the black bowl from table center and place it on the plate
spatial,3,-7.334368096495114,1.0,pick up the black bowl on the cookie box and place it on the plate
spatial,4,-6.3911237606367886,1.0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
spatial,5,-7.155977937808471,0.9,pick up the black bowl on the ramekin and place it on the plate
spatial,6,-7.1855595848570015,1.0,pick up the black bowl next to the cookie box and place it on the plate
spatial,7,-8.246404110416824,1.0,pick up the black bowl on the stove and place it on the plate
spatial,8,-6.392413562637339,1.0,pick up the black bowl next to the plate and place it on the plate
spatial,9,-6.3991890474622375,1.0,pick up the black bowl on the wooden cabinet and place it on the plate
